id;title;description;google_product_category;link;image_link;additional_image_link;availability;price;sale_price;brand
r2u_prd72;모바일 문화상품권 5000원;전국 편의점 및 사용처 정말 다양한 거 아시죠~?;53;https://st1.random2u.com/api/product/info/72;https://st1.random2u.com/uploads/2019/01/09/14/17/23b4335fe2c846a4040fbedba888e532.jpg;;in stock;5000;5000;컬쳐랜드
r2u_prd466;[COX] CH60 리얼 7.1 게이밍 헤드셋;갖고 싶어요…이사님 사주세요….;604;https://st1.random2u.com/api/product/info/466;https://st1.random2u.com/uploads/2018/05/25/09/42/d50e66d24077b5ea7762aac42774b5bf.jpg;;in stock;98000;5000;COX
r2u_prd578;[MARVO] HG9028;갖고 싶어요…팀장님 사주세요…;604;https://st1.random2u.com/api/product/info/578;https://st1.random2u.com/uploads/2018/10/26/12/25/a8e0fc83cd2c2e8a5d6e632c36d45428.jpg;;in stock;35000;5000;MARVO
r2u_prd606;[닥터이엘] 시린이 케어 치약+화이티엘칫솔;어느 순간 얼음 물을 멀리하게 되었다면 추천해요 ;436;https://st1.random2u.com/api/product/info/606;https://st1.random2u.com/uploads/product/21-03-02/e57458b3fa39d6b34c67a5aa9c3f4513.jpg;;in stock;10500;5000;28탁
r2u_prd642;[스웨거] 남성 향수 샤워젤;풍성하고 감각적인 향기와 보습 성분이 바디를 부드럽게 케이해주는 퍼퓸 샤워젤;436;https://st1.random2u.com/api/product/info/642;https://st1.random2u.com/uploads/2020/10/13/19/36/ddf81c5c92bf1aff68f5f753514e688a.png;;in stock;15000;5000;스웨거
r2u_prd653;[퐁당] 포어 딥 클린 버블 클렌저;피부 트러블로 깊은 스트레스를 받으시는 분들의 끝판왕 클렌저.;436;https://st1.random2u.com/api/product/info/653;https://st1.random2u.com/uploads/2019/01/24/13/34/0c582ed495697a472b42654730b2dcfd.jpg;https://st1.random2u.com/uploads/2019/01/24/13/34/dcbc2b30bcff72d78dac02f8a4166530.jpg;in stock;20000;5000;피플스
r2u_prd654;[퐁당] 화이트 터치 셀카 크림;0.1초 만에 올라가는 피부 자신감, 퐁당 화이트 셀카크림!;166;https://st1.random2u.com/api/product/info/654;https://st1.random2u.com/uploads/2019/01/24/13/36/6d22c938414d0b87521b6016b1e8f831.jpg;;in stock;30000;5000;피플스
r2u_prd655;[퐁당] 어메이징 핑크 파우더 스팟 앰플;하루 밤 사이 진정시키는 SOS 피부템은?;166;https://st1.random2u.com/api/product/info/655;https://st1.random2u.com/uploads/2019/01/24/13/37/937795fbb558571d920e512cb4eb8eb5.jpg;;in stock;24000;5000;피플스
r2u_prd785;[미로위] 이때리 때비누;부드러운 피부를 위한 닦는 때비누, 이때리 때비누!;166;https://st1.random2u.com/api/product/info/785;https://st1.random2u.com/uploads/2019/02/28/12/10/67576f9a5a5aa1262a6c1cc87c6cddd9.jpg;;in stock;22000;5000;미로위
r2u_prd791;[조이트론] EX레볼루션 조이스틱;조이트론 조이스틱 조아조아;604;https://st1.random2u.com/api/product/info/791;https://st1.random2u.com/uploads/2019/02/28/11/54/ba88d30e3f144201c79d2d4dc359ea1c.jpg;;in stock;98000;5000;조이트론
r2u_prd793;[제로앱솔루] 안티톡스 에어클린캡슐;톡하고 꺾으면 만사 OK;436;https://st1.random2u.com/api/product/info/793;https://st1.random2u.com/uploads/2019/02/28/13/53/f6d5779b7e2f9283b4968233bef2c12d.jpg;;in stock;11000;5000;zeroAbsolu
r2u_prd884;[스웨거] 옵티마이저 올인원 로션;상남자의 리얼 젠틀 아이템!;166;https://st1.random2u.com/api/product/info/884;https://st1.random2u.com/uploads/2019/04/17/12/34/de3b981908c92adac7304f0fc3c2432f.png;;in stock;20000;5000;스웨거
r2u_prd901;[게릴라] 전자노트 꼬리별 8.5인치;쓰고 지우기 간편한 꼬리별 전자노트;604;https://st1.random2u.com/api/product/info/901;https://st1.random2u.com/uploads/2020/01/15/18/28/7f13cc108e60796f50bb349245cfeea7.png;;in stock;8900;5000;게릴라
r2u_prd903;[게릴라] 휴대용 옷걸이;건조기능이 있는 옷걸이?! 귀하네요;604;https://st1.random2u.com/api/product/info/903;https://st1.random2u.com/uploads/2019/05/07/18/07/c4f93569b742107993fa318b82bd88c7.jpg;;in stock;45000;5000;게릴라
r2u_prd925;[제닉스] NEW ARENA-X ZERO 게이밍 체어;제닉스와 함께 찍는 만렙;436;https://st1.random2u.com/api/product/info/925;https://st1.random2u.com/uploads/2019/05/08/17/58/9a75543d01a26fb3b12a514392c79ed5.jpg;;in stock;189000;5000;제닉스
r2u_prd934;[멈칫] 멜팅 바디로션;드러그스토어에서 폭발적인 누적 판매량을 자랑하는 제품이에요;436;https://st1.random2u.com/api/product/info/934;https://st1.random2u.com/uploads/2019/05/16/14/44/9becf532ba98b6f0afda90086b749dcc.jpg;;in stock;25000;5000;멈칫
r2u_prd982;[스카이보틀] 화이트레인 / 하얀 꽃들의 우아하고 다채로운 향;만지고 싶은 손을 만드는 핸드크림, 싱그럽고 달달한 꽃향기로! ;166;https://st1.random2u.com/api/product/info/982;https://st1.random2u.com/uploads/2020/05/11/20/38/78b87bc79217a650d146bd6646cc9cd3.jpg;;in stock;12000;5000;스카이보틀
r2u_prd1000;LG TROMM 스타일러;소중한 옷을 소중하게 보관하자;604;https://st1.random2u.com/api/product/info/1000;https://st1.random2u.com/uploads/product/21-03-09/bf89a715dbb3e92344654672f91d3620.jpg;;in stock;1490000;5000;LG
r2u_prd1015;[퐁당] 동키 밀크 퍼펙트 리페어 크림;보습에 보습을 더하다! 당나귀 우유로 만드는 투명피부!;166;https://st1.random2u.com/api/product/info/1015;https://st1.random2u.com/uploads/2019/06/28/18/13/d38c69f3e0b8cbdd8a3da4f219262ba9.png;;in stock;42000;5000;퐁당
r2u_prd1016;[퐁당] 동키 밀크 퍼펙트 리페어 세럼;보습에 보습을 더하다! 당나귀 우유로 만드는 투명피부!;166;https://st1.random2u.com/api/product/info/1016;https://st1.random2u.com/uploads/2019/06/28/18/21/24a2ab27d4e4e6313b577d331000af04.jpg;;in stock;45000;5000;퐁당
r2u_prd1021;LG DIOS 와인셀러 미니;와인을 더 신선하게 즐기는 방법;604;https://st1.random2u.com/api/product/info/1021;https://st1.random2u.com/uploads/product/21-03-16/a702fbf3c9ebd31f890d547c0e848d55.jpg;;in stock;370000;5000;LG
r2u_prd1023;[포뷰트] 스피어 프리즈 왁스 세트;굵고 강한 모발도 쉽게 스타일링 하자!;436;https://st1.random2u.com/api/product/info/1023;https://st1.random2u.com/uploads/2019/07/05/13/35/a82bc2c329f4510cf23fb46328eb87a0.jpg;;in stock;35000;5000;딥포인트
r2u_prd1070;[바버501] 쉐이빙 부스터 레드 (티트리);당기고 건조한 피부에 필요한 쉐이빙 아이템은?;436;https://st1.random2u.com/api/product/info/1070;https://st1.random2u.com/uploads/2020/10/30/14/28/9a8e95b648dd7b87190e1e05f299d6d7.jpg;;in stock;13900;5000;
r2u_prd1121;[플루토] 서클제로 프리미엄 고양이 자동 화장실;우리 고양이 드디어 쾌변ㅠㅠ감동실화!!;604;https://st1.random2u.com/api/product/info/1121;https://st1.random2u.com/uploads/2019/09/17/10/26/ecb6e0513c5ef88179bae03d424a8e9f.jpg;;in stock;650000;5000;플루토
r2u_prd1143;[닥터이엘] 차코르파티+화이티엘칫솔;치약과 칫솔. 뭐가 그리 중요하냐고 하실 수 있지만!! 치과가서 누우면 후회후회후회!! 아파도 어쩌겠어요ㅠ 평소에 잘해야지ㅠ 그러니 평소에 관리하실 수 있도록! 랜덤투유가 여러분에게 준비한 닥터이엘의 칫솔치약 세트를 만나보세요!;436;https://st1.random2u.com/api/product/info/1143;https://st1.random2u.com/uploads/2019/09/27/15/33/3bfa070d474a37a17ac7b9dd43c477fe.png;;in stock;15500;5000;닥터이엘
r2u_prd1153;[W.DRESSROOM] 향기비타솔루션 샴푸;지루한 향은 이제 그만! 특별한 향으로 머릿결 관리해요;436;https://st1.random2u.com/api/product/info/1153;https://st1.random2u.com/uploads/2019/10/07/22/51/b1aafc48e0ffa40bf14bc3258f41e171.jpg;;in stock;15000;5000;W.DRESSROOM
r2u_prd1154;[W.DRESSROOM] 향기비타솔루션 트리트먼트;매일 샤워하며 편하게 관리 할 수 있는 머릿결;436;https://st1.random2u.com/api/product/info/1154;https://st1.random2u.com/uploads/2019/10/07/20/37/6ae0774d25412f6aaa7a774280149874.jpg;;in stock;15000;5000;W.DRESSROOM
r2u_prd1155;[W.DRESSROOM] 향기비타솔루션 드라이 샴푸;떡진 앞머리 관리는 이 상품 하나로 걱정 끝!;436;https://st1.random2u.com/api/product/info/1155;https://st1.random2u.com/uploads/2019/10/07/22/17/8e07000acb71846064b06af525660d59.jpg;;in stock;15000;5000;W.DRESSROOM
r2u_prd1167;[미로위] 원제로제로 클렌징밤;부드러운 셔벗 제형으로 짙은 메이크업도 한번에 완료!;166;https://st1.random2u.com/api/product/info/1167;https://st1.random2u.com/uploads/2019/10/16/16/06/d86cf94e395f14b8017e2a8fc674f7ad.png;;in stock;49000;5000;미로위
r2u_prd1169;[제로앱솔루] 안티톡스 클린 스프레이;위생이 걱정되는 곳에 칙칙 뿌려주시면 됩니다;436;https://st1.random2u.com/api/product/info/1169;https://st1.random2u.com/uploads/2019/10/16/16/06/972f6657bbbdec74f9fc19d70dfd7cda.jpg;;in stock;9800;5000;
r2u_prd1170;[하루엔] 써니 친환경 화산석 습기제거제;놀라운 제습효과로 완벽한 습기 제거! 추가로 탈취효과까지!;436;https://st1.random2u.com/api/product/info/1170;https://st1.random2u.com/uploads/2019/10/24/17/29/77017da3f78a4bf12feeaf4bcf7dbd8d.jpg;;in stock;19800;5000;하루엔
r2u_prd1171;[멈칫] 향좋은 약산성 바디워시;민감성 피부에는 부드러운 약산성 바디워시로 상쾌하게 샤워!;436;https://st1.random2u.com/api/product/info/1171;https://st1.random2u.com/uploads/2019/10/24/17/28/eadce1df7c61f6fb5993307862232553.jpg;;in stock;13900;5000;멈칫
